start_year,cds14,enr_9_12_total,race_hisp_pct,race_white_pct,race_asian_incl_fil_pct,race_black_pct,race_urg_pct,race_asian_only_pct
2013,07617210107797,2426.0,21.81,51.2,12.49,10.22,32.48,5.28
2013,07617210730457,2560.0,39.77,38.67,6.76,10.47,50.62,2.11
2013,07617210730572,385.0,36.36,43.9,3.64,11.69,49.61,1.82
2013,07617210733980,2356.0,38.07,45.84,3.52,6.11,44.78,1.53
2013,07617210733998,175.0,37.71,33.14,1.14,23.43,62.29,0.0
2013,07617390000001,1.0,0.0,100.0,0.0,0.0,0.0,0.0
2013,07617390730440,114.0,33.33,47.37,0.0,7.89,42.11,0.0
2013,07617390730473,41.0,17.07,63.41,0.0,7.32,26.83,0.0
2013,07617390730549,1195.0,25.44,54.31,6.86,2.26,28.03,3.6
2013,07617540000000,37.0,29.73,56.76,2.7,8.11,40.54,2.7
2013,07617540000001,94.0,15.96,60.64,2.13,18.09,34.04,1.06
2013,07617540730044,1643.0,10.71,60.68,22.58,2.01,13.15,17.47
2013,07617540730317,149.0,20.81,67.79,6.71,0.67,22.15,4.03
2013,07617540730333,22.0,77.27,4.55,0.0,18.18,95.45,0.0
2013,07617540730341,27.0,18.52,66.67,3.7,7.41,25.93,3.7
2013,07617540730358,36.0,44.44,44.44,8.33,2.78,47.22,8.33
2013,07617540730416,47.0,82.98,4.26,0.0,6.38,91.49,0.0
2013,07617540730424,49.0,46.94,48.98,0.0,4.08,51.02,0.0
2013,07617540730655,16.0,50.0,6.25,18.75,25.0,75.0,12.5
2013,07617540731646,1949.0,22.37,56.8,14.47,3.18,25.96,9.54
2013,07617540731836,1459.0,39.48,40.23,11.58,5.07,45.44,5.62
2013,07617540734566,1309.0,62.03,14.44,10.92,7.79,70.44,4.58
2013,07617540734764,338.0,50.59,28.11,3.55,15.38,65.98,2.07
2013,07617540737809,1156.0,67.21,15.4,8.82,5.71,73.18,4.41
2013,07617880000001,14.0,28.57,28.57,14.29,21.43,50.0,7.14
2013,07617880730184,282.0,50.35,6.38,5.32,33.33,83.69,2.48
2013,07617880735407,2904.0,57.13,6.68,10.67,22.59,79.96,3.62
2013,07617960000000,29.0,65.52,13.79,0.0,17.24,82.76,0.0
2013,07617960000001,28.0,17.86,53.57,10.71,14.29,32.14,7.14
2013,07617960101477,475.0,90.32,0.42,1.26,6.74,97.26,1.26
2013,07617960730275,182.0,59.89,3.85,7.14,25.27,85.16,5.49
2013,07617960730291,275.0,49.09,6.91,18.91,24.0,73.09,12.0
2013,07617960730325,295.0,55.59,12.88,6.44,20.68,76.27,3.39
2013,07617960730598,1015.0,17.64,8.57,46.01,26.11,43.94,18.62
2013,07617960732164,1124.0,43.59,10.68,18.86,24.73,68.59,11.83
2013,07617960732941,1341.0,27.52,18.49,22.07,30.35,58.02,19.02
2013,07617960733253,153.0,58.82,1.31,1.96,36.6,95.42,1.96
2013,07617960733659,826.0,60.29,1.69,7.02,28.45,88.86,4.72
2013,07617960735316,1258.0,39.98,17.33,22.81,17.41,57.47,13.43
2013,07617960735902,1491.0,85.38,1.54,6.37,5.57,91.01,4.02
2013,07618040000001,8.0,0.0,100.0,0.0,0.0,0.0,0.0
2013,07618040113118,2381.0,6.47,17.77,65.9,3.91,10.54,60.56
2013,07618040730051,2605.0,12.59,51.75,24.57,2.19,14.97,21.0
2013,07618040730218,213.0,15.96,64.32,8.45,5.63,22.07,6.1
2013,07618040734368,2210.0,6.47,70.23,16.65,1.04,7.6,14.98
2013,07618040736504,2165.0,7.71,79.91,6.88,0.79,8.64,5.5
2013,07618040736819,49.0,12.24,61.22,10.2,12.24,24.49,4.08
2013,07768100125815,26.0,50.0,19.23,0.0,30.77,80.77,0.0
2013,08100820106625,7.0,14.29,57.14,0.0,0.0,42.86,0.0
2013,08100820106666,20.0,45.0,35.0,0.0,15.0,65.0,0.0
2013,08100820109777,23.0,0.0,26.09,0.0,0.0,73.91,0.0
2013,08100820830042,18.0,5.56,61.11,0.0,0.0,38.89,0.0
2013,08100820830059,205.0,15.12,66.34,1.95,0.49,29.76,1.95
2013,08100820830067,3.0,0.0,66.67,0.0,0.0,33.33,0.0
2013,08618200833004,936.0,19.23,57.48,10.9,0.75,30.88,10.26
2013,08618200836205,95.0,14.74,64.21,0.0,2.11,35.79,0.0
2013,09100900000001,8.0,12.5,62.5,0.0,12.5,37.5,0.0
2013,09100900106047,11.0,36.36,54.55,9.09,0.0,36.36,9.09
2013,09100900930016,13.0,15.38,46.15,0.0,0.0,15.38,0.0
2013,09100900930123,328.0,18.29,73.78,0.0,0.3,20.43,0.0
2013,09100900930131,148.0,60.81,8.78,1.35,22.97,84.46,1.35
2013,09100906069470,41.0,7.32,80.49,7.32,4.88,12.2,4.88
2013,09618530000001,11.0,9.09,81.82,0.0,9.09,18.18,0.0
2013,09618530101808,28.0,14.29,71.43,0.0,3.57,17.86,0.0
2013,09618530930081,2345.0,8.78,65.59,9.47,2.05,11.13,8.14
2013,09618530930164,1069.0,14.03,76.33,0.94,1.03,16.56,0.65
2013,09618530930206,6.0,0.0,66.67,16.67,0.0,16.67,16.67
2013,09618530930214,63.0,6.35,85.71,1.59,0.0,6.35,0.0
2013,09618530930222,53.0,24.53,69.81,0.0,0.0,24.53,0.0
2013,09618530932756,1330.0,16.47,74.96,1.2,0.68,19.47,1.05
2013,09618530934554,114.0,18.42,71.93,0.0,3.51,24.56,0.0
2013,09618530936302,1828.0,12.14,80.03,2.63,0.6,13.07,2.02
2013,09619030930040,87.0,60.92,37.93,0.0,0.0,62.07,0.0
2013,09619030930107,43.0,74.42,23.26,0.0,0.0,74.42,0.0
2013,09619030937805,1040.0,35.1,52.69,7.5,1.73,37.88,2.31
2013,09737830000001,5.0,20.0,40.0,0.0,20.0,60.0,0.0
