ceeb,campus,year,applicants,admits,denied,app_gpa,adm_gpa,den_gpa
054347,Irvine,2015,71.0,29.0,42.0,3.79,4.13,3.555238095238095
052015,Riverside,2013,23.0,17.0,6.0,3.67,3.85,3.159999999999999
004584,Universitywide,2003,806.0,566.0,240.0,,,
004591,Riverside,2011,11.0,6.0,5.0,,,
004420,Berkeley,2002,10.0,3.0,7.0,,,
004252,Riverside,2003,8.0,7.0,1.0,,,
053879,Universitywide,2021,39.0,24.0,15.0,3.74,4.04,3.2600000000000002
004084,Universitywide,2014,423.0,331.0,92.0,,,
051925,Los Angeles,2017,7.0,,,3.57,,
050912,Santa Barbara,2007,57.0,32.0,25.0,3.81,4.06,3.490000000000001
054003,Merced,2016,6.0,5.0,1.0,3.52,3.55,3.370000000000001
051032,Los Angeles,2015,39.0,3.0,36.0,3.78,,
053610,Davis,2024,22.0,8.0,14.0,3.74,4.17,3.494285714285714
050967,Berkeley,2020,8.0,,,4.03,,
051635,Santa Barbara,2002,68.0,31.0,37.0,3.43,3.78,3.1367567567567574
053078,Los Angeles,1996,25.0,13.0,12.0,,,
051257,Merced,2008,20.0,6.0,14.0,2.63,3.31,2.338571428571428
053053,Davis,2005,8.0,,,,,
054065,Santa Barbara,2016,26.0,4.0,22.0,3.63,,
053329,Universitywide,2016,24.0,16.0,8.0,3.68,3.87,3.3000000000000007
052435,Universitywide,2008,84.0,77.0,7.0,,,
053660,Davis,2016,12.0,3.0,9.0,3.48,,
050805,Riverside,2012,33.0,17.0,16.0,3.54,3.82,3.2425000000000006
050972,Universitywide,2011,102.0,84.0,18.0,3.69,3.78,3.270000000000001
051455,Riverside,2015,5.0,,,3.61,,
050306,Irvine,2012,5.0,,,3.73,,
052502,Los Angeles,2001,58.0,24.0,34.0,,,
050579,Universitywide,1995,39.0,27.0,12.0,3.61,3.81,3.159999999999999
054697,Santa Barbara,2024,30.0,19.0,11.0,4.0,4.19,3.6718181818181805
053142,Merced,2005,40.0,40.0,0.0,,,
004930,Berkeley,2011,90.0,21.0,69.0,,,
051715,Davis,2001,12.0,6.0,6.0,,,
050005,Santa Barbara,2018,144.0,40.0,104.0,3.94,4.24,3.8246153846153845
050270,Irvine,2009,68.0,30.0,38.0,3.81,4.12,3.565263157894736
050309,Santa Cruz,2025,37.0,26.0,11.0,3.83,4.09,3.215454545454546
051412,San Diego,2024,53.0,25.0,28.0,3.75,4.16,3.3839285714285716
053669,Riverside,2016,5.0,4.0,1.0,,,
