entry,campus,cohort,group_type,subgroup,band,band_lo,band_hi,denom,n_first,n_second,n_third,r_first_pct,r_second_pct,r_third_pct
FR,All,2020,first_gen_status,first_gen,3,3.91,4.0,4233,3318,342,0,78.38,8.08,0.0
FR,All,2020,first_gen_status,not_first_gen,1,1.1,3.67,7658,5024,1079,0,65.6,14.09,0.0
FR,All,2020,first_gen_status,not_first_gen,2,3.67,3.91,8918,7010,861,0,78.61,9.65,0.0
FR,All,2020,first_gen_status,not_first_gen,3,3.91,4.0,10728,9223,753,0,85.97,7.02,0.0
FR,All,2020,overall,overall,1,1.1,3.67,15085,9066,2030,0,60.1,13.46,0.0
FR,All,2020,overall,overall,2,3.67,3.91,15120,11211,1554,0,74.15,10.28,0.0
FR,All,2020,overall,overall,3,3.91,4.0,15361,12875,1120,0,83.82,7.29,0.0
FR,All,2020,pell_status,non_pell,1,1.1,3.67,7970,5118,1039,0,64.22,13.04,0.0
FR,All,2020,pell_status,non_pell,2,3.67,3.91,9183,7113,866,0,77.46,9.43,0.0
FR,All,2020,pell_status,non_pell,3,3.91,4.0,10798,9227,717,0,85.45,6.64,0.0
FR,All,2020,pell_status,pell,1,1.1,3.67,7115,3948,991,0,55.49,13.93,0.0
FR,All,2020,pell_status,pell,2,3.67,3.91,5937,4098,688,0,69.02,11.59,0.0
FR,All,2020,pell_status,pell,3,3.91,4.0,4563,3648,403,0,79.95,8.83,0.0
FR,All,2021,ethnicity,aian,1,0.0,3.71,76,41,0,0,53.95,0.0,0.0
FR,All,2021,ethnicity,aian,2,3.71,3.92,71,48,0,0,67.61,0.0,0.0
FR,All,2021,ethnicity,aian,3,3.92,4.0,68,51,0,0,75.0,0.0,0.0
FR,All,2021,ethnicity,asian,1,0.0,3.71,4982,3463,0,0,69.51,0.0,0.0
FR,All,2021,ethnicity,asian,2,3.71,3.92,5929,4919,0,0,82.97,0.0,0.0
FR,All,2021,ethnicity,asian,3,3.92,4.0,7119,6276,0,0,88.16,0.0,0.0
FR,All,2021,ethnicity,black,1,0.0,3.71,1154,630,0,0,54.59,0.0,0.0
FR,All,2021,ethnicity,black,2,3.71,3.92,667,442,0,0,66.27,0.0,0.0
FR,All,2021,ethnicity,black,3,3.92,4.0,462,357,0,0,77.27,0.0,0.0
FR,All,2021,ethnicity,hispanic_latino,1,0.0,3.71,6084,3206,0,0,52.7,0.0,0.0
FR,All,2021,ethnicity,hispanic_latino,2,3.71,3.92,4217,2857,0,0,67.75,0.0,0.0
FR,All,2021,ethnicity,hispanic_latino,3,3.92,4.0,3144,2437,0,0,77.51,0.0,0.0
FR,All,2021,ethnicity,international,1,0.0,3.71,1666,1046,0,0,62.79,0.0,0.0
FR,All,2021,ethnicity,international,2,3.71,3.92,1444,1044,0,0,72.3,0.0,0.0
FR,All,2021,ethnicity,international,3,3.92,4.0,1856,1474,0,0,79.42,0.0,0.0
FR,All,2021,ethnicity,white,1,0.0,3.71,2250,1436,0,0,63.82,0.0,0.0
FR,All,2021,ethnicity,white,2,3.71,3.92,3116,2435,0,0,78.15,0.0,0.0
FR,All,2021,ethnicity,white,3,3.92,4.0,4716,4042,0,0,85.71,0.0,0.0
FR,All,2021,first_gen_status,first_gen,1,0.0,3.71,7791,4267,0,0,54.77,0.0,0.0
FR,All,2021,first_gen_status,first_gen,2,3.71,3.92,5639,3941,0,0,69.89,0.0,0.0
FR,All,2021,first_gen_status,first_gen,3,3.92,4.0,4409,3466,0,0,78.61,0.0,0.0
FR,All,2021,first_gen_status,not_first_gen,1,0.0,3.71,8392,5527,0,0,65.86,0.0,0.0
FR,All,2021,first_gen_status,not_first_gen,2,3.71,3.92,9860,7834,0,0,79.45,0.0,0.0
FR,All,2021,first_gen_status,not_first_gen,3,3.92,4.0,13145,11369,0,0,86.49,0.0,0.0
FR,All,2021,overall,overall,1,0.0,3.71,16503,10002,0,0,60.61,0.0,0.0
FR,All,2021,overall,overall,2,3.71,3.92,15865,12068,0,0,76.07,0.0,0.0
FR,All,2021,overall,overall,3,3.92,4.0,17995,15193,0,0,84.43,0.0,0.0
FR,All,2021,pell_status,non_pell,1,0.0,3.71,8419,5445,0,0,64.68,0.0,0.0
