ceeb,name,city,county
053218,Dougherty Valley High School,San Ramon,Contra Costa
053220,Basis Independent Fremont Upper Sch,Fremont,Alameda
053222,San Rafael High School,San Rafael,Marin
053229,California High School,San Ramon,Contra Costa
053231,Terra Linda High School,San Rafael,Marin
053234,Foothill High School,Santa Ana,Orange
053235,Santa Ana High School,Santa Ana,Orange
053240,Mater Dei High School,Santa Ana,Orange
053242,Saddleback High School,Santa Ana,Orange
053243,Valley High School,Santa Ana,Orange
053245,Bishop Garcia Diego High School,Santa Barbara,Santa Barbara
053249,Century High School,Santa Ana,Orange
053251,Calvary Chapel High School,Santa Ana,Orange
053252,Dos Pueblos High School,Goleta,Santa Barbara
053255,Laguna Blanca School,Santa Barbara,Santa Barbara
053258,Middle College High School,Santa Ana,Orange
053262,Academy of the Canyons,Santa Clarita,Los Angeles
053266,Orange County Hs of the Arts,Santa Ana,Orange
053270,Pacific Collegiate School,Santa Cruz,Santa Cruz
053272,San Marcos High School,Santa Barbara,Santa Barbara
053275,Santa Barbara Senior High Scho,Santa Barbara,Santa Barbara
053276,Adrian C Wilcox High School,Santa Clara,Santa Clara
053280,Santa Clara High School,Santa Clara,Santa Clara
053287,New Roads School,Santa Monica,Los Angeles
053290,Georgiana Bruce Kirby Prep High Sch,Santa Cruz,Santa Cruz
053293,Harbor High School,Santa Cruz,Santa Cruz
053297,Santa Cruz High School,Santa Cruz,Santa Cruz
053300,Santa Fe High School,Santa Fe Springs,Los Angeles
053303,Ernest Righetti High School,Santa Maria,Santa Barbara
053304,Saint Joseph High School,Santa Maria,Santa Barbara
053305,Santa Maria High School,Santa Maria,Santa Barbara
053307,Crossroads School for Arts & Sci,Santa Monica,Los Angeles
053310,Saint Monica Catholic High School,Santa Monica,Los Angeles
053316,Elsie Allen High School,Santa Rosa,Sonoma
053320,Santa Monica High School,Santa Monica,Los Angeles
053323,Windward School,Los Angeles,Los Angeles
053325,Santa Paula High School,Santa Paula,Ventura
053326,Cardinal Newman High School,Santa Rosa,Sonoma
053328,Montgomery High School,Santa Rosa,Sonoma
053329,Piner High School,Santa Rosa,Sonoma
053330,Santa Rosa High School,Santa Rosa,Sonoma
053335,Ursuline High School,Santa Rosa,Sonoma
053336,Saugus High School,Santa Clarita,Los Angeles
053338,Valley Christian High School,San Jose,Santa Clara
053340,Santa Ynez Valley Union Hs,Santa Ynez,Santa Barbara
053341,Canyon High School,Canyon Country,Los Angeles
053342,Santana High School,Santee,San Diego
053343,Saratoga High School,Saratoga,Santa Clara
053344,Prospect High School,Saratoga,Santa Clara
053345,Analy High School,Sebastopol,Sonoma
053350,Selma High School,Selma,Fresno
053358,Heritage Christian School South,North Hills,Los Angeles
053360,Shafter High School,Shafter,Kern
053370,Notre Dame High School,Sherman Oaks,Los Angeles
053372,Santa Susana High School,Simi Valley,Ventura
053373,Ponderosa High School,Shingle Springs,El Dorado
053378,Alverno High School,Sierra Madre,Los Angeles
053379,Royal High School,Simi Valley,Ventura
053380,Simi Valley High School,Simi Valley,Ventura
053381,West Hills High School,Santee,San Diego
053383,Grace Brethren High School,Simi Valley,Ventura
053386,Maria Carrillo High School,Santa Rosa,Sonoma
053390,Sonoma Valley High School,Sonoma,Sonoma
053395,Sonora High School,Sonora,Tuolumne
053398,Soquel High School,Soquel,Santa Cruz
