entry,campus,cohort,group_type,subgroup,band,band_lo,band_hi,c_first,c_second,c_third,r_first_pct,r_second_pct,r_third_pct
FR,All,2019,first_gen_status,first_gen,1,1.38,3.69,4122,947,193,,,
FR,All,2019,first_gen_status,first_gen,2,3.69,3.91,3883,661,114,,,
FR,All,2019,first_gen_status,first_gen,3,3.91,4.0,3261,428,63,,,
FR,All,2019,first_gen_status,not_first_gen,1,1.38,3.69,4767,923,191,,,
FR,All,2019,first_gen_status,not_first_gen,2,3.69,3.91,6491,843,155,,,
FR,All,2019,first_gen_status,not_first_gen,3,3.91,4.0,9303,849,127,,,
FR,All,2019,pell_status,non_pell,1,1.38,3.69,4813,937,185,,,
FR,All,2019,pell_status,non_pell,2,3.69,3.91,6559,834,144,,,
FR,All,2019,pell_status,non_pell,3,3.91,4.0,9208,822,116,,,
FR,All,2019,pell_status,pell,1,1.38,3.69,4235,980,210,,,
FR,All,2019,pell_status,pell,2,3.69,3.91,4021,702,129,,,
FR,All,2019,pell_status,pell,3,3.91,4.0,3583,481,78,,,
FR,All,2020,ethnicity,aian,1,1.1,3.67,24,8,0,,,
FR,All,2020,ethnicity,aian,2,3.67,3.91,43,7,0,,,
FR,All,2020,ethnicity,aian,3,3.91,4.0,47,4,0,,,
FR,All,2020,ethnicity,asian,1,1.1,3.67,3576,688,0,,,
FR,All,2020,ethnicity,asian,2,3.67,3.91,4744,582,0,,,
FR,All,2020,ethnicity,asian,3,3.91,4.0,5521,359,0,,,
FR,All,2020,ethnicity,black,1,1.1,3.67,491,149,0,,,
FR,All,2020,ethnicity,black,2,3.67,3.91,375,68,0,,,
FR,All,2020,ethnicity,black,3,3.91,4.0,298,45,0,,,
FR,All,2020,ethnicity,hispanic_latino,1,1.1,3.67,2542,633,0,,,
FR,All,2020,ethnicity,hispanic_latino,2,3.67,3.91,2529,443,0,,,
FR,All,2020,ethnicity,hispanic_latino,3,3.91,4.0,2161,267,0,,,
FR,All,2020,ethnicity,international,1,1.1,3.67,847,210,0,,,
FR,All,2020,ethnicity,international,2,3.67,3.91,1027,153,0,,,
FR,All,2020,ethnicity,international,3,3.91,4.0,1170,138,0,,,
FR,All,2020,ethnicity,white,1,1.1,3.67,1393,314,0,,,
FR,All,2020,ethnicity,white,2,3.67,3.91,2172,262,0,,,
FR,All,2020,ethnicity,white,3,3.91,4.0,3177,272,0,,,
FR,All,2020,first_gen_status,first_gen,1,1.1,3.67,3842,892,0,,,
FR,All,2020,first_gen_status,first_gen,2,3.67,3.91,3951,657,0,,,
FR,All,2020,first_gen_status,first_gen,3,3.91,4.0,3318,342,0,,,
FR,All,2020,first_gen_status,not_first_gen,1,1.1,3.67,5024,1079,0,,,
FR,All,2020,first_gen_status,not_first_gen,2,3.67,3.91,7010,861,0,,,
FR,All,2020,first_gen_status,not_first_gen,3,3.91,4.0,9223,753,0,,,
FR,All,2020,pell_status,non_pell,1,1.1,3.67,5118,1039,0,,,
FR,All,2020,pell_status,non_pell,2,3.67,3.91,7113,866,0,,,
FR,All,2020,pell_status,non_pell,3,3.91,4.0,9227,717,0,,,
FR,All,2020,pell_status,pell,1,1.1,3.67,3948,991,0,,,
FR,All,2020,pell_status,pell,2,3.67,3.91,4098,688,0,,,
FR,All,2020,pell_status,pell,3,3.91,4.0,3648,403,0,,,
FR,All,2021,ethnicity,aian,1,0.0,3.71,41,0,0,,,
FR,All,2021,ethnicity,aian,2,3.71,3.92,48,0,0,,,
FR,All,2021,ethnicity,aian,3,3.92,4.0,51,0,0,,,
FR,All,2021,ethnicity,asian,1,0.0,3.71,3463,0,0,,,
FR,All,2021,ethnicity,asian,2,3.71,3.92,4919,0,0,,,
FR,All,2021,ethnicity,asian,3,3.92,4.0,6276,0,0,,,
FR,All,2021,ethnicity,black,1,0.0,3.71,630,0,0,,,
FR,All,2021,ethnicity,black,2,3.71,3.92,442,0,0,,,
FR,All,2021,ethnicity,black,3,3.92,4.0,357,0,0,,,
FR,All,2021,ethnicity,hispanic_latino,1,0.0,3.71,3206,0,0,,,
FR,All,2021,ethnicity,hispanic_latino,2,3.71,3.92,2857,0,0,,,
FR,All,2021,ethnicity,hispanic_latino,3,3.92,4.0,2437,0,0,,,
FR,All,2021,ethnicity,international,1,0.0,3.71,1046,0,0,,,
FR,All,2021,ethnicity,international,2,3.71,3.92,1044,0,0,,,
FR,All,2021,ethnicity,international,3,3.92,4.0,1474,0,0,,,
FR,All,2021,ethnicity,white,1,0.0,3.71,1436,0,0,,,
FR,All,2021,ethnicity,white,2,3.71,3.92,2435,0,0,,,
FR,All,2021,ethnicity,white,3,3.92,4.0,4042,0,0,,,
FR,All,2021,first_gen_status,first_gen,1,0.0,3.71,4267,0,0,,,
FR,All,2021,first_gen_status,first_gen,2,3.71,3.92,3941,0,0,,,
FR,All,2021,first_gen_status,first_gen,3,3.92,4.0,3466,0,0,,,
FR,All,2021,first_gen_status,not_first_gen,1,0.0,3.71,5527,0,0,,,
FR,All,2021,first_gen_status,not_first_gen,2,3.71,3.92,7834,0,0,,,
FR,All,2021,first_gen_status,not_first_gen,3,3.92,4.0,11369,0,0,,,
FR,All,2021,pell_status,non_pell,1,0.0,3.71,5445,0,0,,,
FR,All,2021,pell_status,non_pell,2,3.71,3.92,7673,0,0,,,
FR,All,2021,pell_status,non_pell,3,3.92,4.0,10952,0,0,,,
FR,All,2021,pell_status,pell,1,0.0,3.71,4557,0,0,,,
FR,All,2021,pell_status,pell,2,3.71,3.92,4395,0,0,,,
FR,All,2021,pell_status,pell,3,3.92,4.0,4241,0,0,,,
FR,Berkeley,2010,ethnicity,aian,1,1.75,3.47,1,0,0,,,
